"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000038427",23110.5055734869,2.32664278777745,0.0594707093394727,39.1224993550426,0,0
"ENSG00000059804",7219.45206457714,-3.12738541633156,0.0639609944500652,-48.8951968808605,0,0
"ENSG00000067225",41112.3960733943,2.30277151557389,0.0523906106625018,43.9538972051357,0,0
"ENSG00000087086",43387.4723067838,-2.77282251217908,0.0483068167776407,-57.4002324546151,0,0
"ENSG00000102172",7501.43596559961,-2.58922303899669,0.0609327649105632,-42.4931158597044,0,0
"ENSG00000103888",4836.04206583587,3.6582155535741,0.0774140838195405,47.2551682210919,0,0
"ENSG00000105520",3542.15876257546,3.03028455201496,0.0758013726885555,39.9766448091312,0,0
"ENSG00000108846",3605.64131526081,3.3071806092111,0.0811644694826527,40.746654666645,0,0
"ENSG00000110651",3343.13338671215,3.40186194437058,0.0904314637760477,37.618123187691,0,0
"ENSG00000115963",8002.42956323636,-2.92569025820294,0.0672313211794342,-43.516774724604,0,0
"ENSG00000133030",7626.61128449508,2.44261164455168,0.0621854163577359,39.2794932898735,0,0
"ENSG00000135046",32032.0931478106,-3.58679994039966,0.0579220621196796,-61.9245898564273,0,0
"ENSG00000139645",7353.30222601033,-2.46178679397605,0.0619808463922816,-39.7185088179533,0,0
"ENSG00000141753",2803.20497535668,3.85200005076845,0.0891391634976342,43.2133295806695,0,0
"ENSG00000149948",7910.43593317387,-2.75834517522432,0.0641847930218806,-42.9750575698515,0,0
"ENSG00000157224",2582.25074866159,-3.94594254349357,0.0995973612411627,-39.6189466700725,0,0
"ENSG00000163235",4613.50247065243,3.97389678177594,0.0800566810328691,49.6385402255731,0,0
"ENSG00000164171",14769.8058699606,3.54930570535435,0.0666808094028071,53.2282936746255,0,0
"ENSG00000166033",10399.2952611084,2.10731455545133,0.0545699201848342,38.6167791397463,0,0
"ENSG00000166833",2446.6055130018,-3.7446067515156,0.0968783515048245,-38.6526679423227,0,0
"ENSG00000166900",2545.64080360409,-4.05635102647146,0.0972180360732012,-41.7242642447251,0,0
"ENSG00000176014",9754.54140798628,-2.42001798657755,0.0617769890061708,-39.1734531823139,0,0
"ENSG00000179954",1855.24210722343,4.83993525492771,0.123048510023554,39.3335543356133,0,0
"ENSG00000186340",1916.53564199258,4.08540518861751,0.107479886153627,38.0108812431937,0,0
"ENSG00000187720",4102.27771492887,3.25305944462573,0.074379667148184,43.7358698869245,0,0
